accession	strain	country	division	host	date	location	_yea	cite	Group	hACE2 usage	Species	sample ID	sample ID sub	EH sample year	EH sample ID	custom naming		cave province code	cave code		asumption		cave region	collection_date	collection_month	comment	lat_lon
MT470440	MT470440|IISERTVM-08|India|2020	India	India	Rhinolophus	2020-02-07																						
MT470441	MT470441|IISERTVM-09|India|2020	India	India	Rhinolophus	2020-02-07																						
MT470437	MT470437|IISERTVM-05|India|2020	India	India	Rhinolophus	2020-02-06																						
KY352407	KY352407|Kenya|bat|coronavirus|BtKY72	Kenya	Kenya	Rhinolophus	2007-08-XX		Unclassified		US-CDC																2007-08-01		
JQ649536	JQ649536|Rwanda/445/2008	Rwanda	Rwanda	Rh. clivosus 	2008-XX-XX				South-Africa																		
JQ649535	JQ649535|Rwanda/441/2008	Rwanda	Rwanda	Rh. clivosus 	2008-XX-XX				South-Africa																		
AB889999	AB889999|Is68	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
AB889998	AB889998|Is66	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
AB889995	AB889995|Is39	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
AB889997	AB889997|Is63	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
AB890000	AB890000|Og44	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
AB889996	AB889996|Is58	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
LC556375	LC556375|Rc-o319	Japan	Japan	Rh. cornutus 	2013-XX-XX				Japan																		
MT072864	MT072864|Pangolin/GX-P2V	China	Guangxi	Pangolin	2018-XX-XX					Yes																	
MT040333	MT040333|Pangolin/GX-P4L	China	Guangxi	Pangolin	2017-XX-XX					Yes																	
MT040336	MT040336|Pangolin/GX-P5E	China	Guangxi	Pangolin	2017-XX-XX					Yes																	
MN312741	MN312741|Bat|SARS-like|coronavirus|isolate|8586	China	Guangdong	Rh. sinicus	2015-XX-XX	Baoan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1923-07-04						GD	?				Far from Yunnan		2015-06-01		
MN312740	MN312740|Bat|SARS-like|coronavirus|isolate|8572	China	Guangdong	Rh. sinicus	2015-XX-XX	Baoan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1923-06-20						GD	?				Far from Yunnan		2015-06-01		
MN312739	MN312739|Bat|SARS-like|coronavirus|isolate|8561	China	Guangdong	Rh. sinicus	2015-XX-XX	Baoan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1923-06-09						GD	?				Far from Yunnan		2015-06-01		
MN312738	MN312738|Bat|SARS-like|coronavirus|isolate|8548	China	Guangdong	Rh. sinicus	2015-XX-XX	Baoan	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr	1923-05-27						GD	?				Far from Yunnan		2015-06-01		
MK211374	MK211374|Coronavirus|BtRl-BetaCoV/SC2018	China	Sichuan	Rhinolophus	2016-XX-XX	Sichuan	Betacoronavirus	Han et al. (2019)	MOH		SARSr							SC	?				Near Yunnan		2016-08-01		
MN312659	MN312659|Bat|SARS-like|coronavirus|isolate|141577	China	Guangdong	Hipposideros pomona	2014-XX-XX	Xiangzhou	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr			1900-01-13	1904-04-25			GD	?				Far from Yunnan		2014-09-01		
MN312664	MN312664|Bat|SARS-like|coronavirus|isolate|141600	China	Guangdong	Rh. pusillus	2014-XX-XX	Xiangzhou	Betacoronavirus	Latinne et al. (2020)	WIV+EcoH+DNUS+GIABR		SARSr			1900-01-13	1904-05-18			GD	?				Far from Yunnan		2014-09-01		
